farmer_id,location,NDVI,avg_rainfall,avg_temp,crop_type,price_of_crop,farm_size_in_squire_meter,previous_loans_count,defaulted_loans_count,crop_yeild_per_squiremeter,total_yield(ksh),sesional_expense,credict_score,interest_rate,loan_limit,loan_duration
FARM_2836,"""3.11853816050416021710134373279288411140441895,38.9954""",0.65,1315,25.5,Coconut,108,489,4,3,1.01,53340.12,12968,353,17.7,14513,20
FARM_2837,"""2.11505436632613097458488482516258955001831055,40.6049""",0.9,1109,17.8,Tea,396,2299,0,0,1.35,1229045.4,278417,702,11.4,513126,13
FARM_2838,"""0.34280601107418906536850045085884630680084229,41.4942""",0.62,496,19.6,Coconut,116,2311,3,0,1.33,356541.08,19520,788,10.6,161632,8
FARM_2839,"""0.79023352126658785721247113542631268501281738,40.4250""",0.64,585,19.1,Beans,133,1404,2,1,1.17,218476.44,40454,663,14.3,87664,24
FARM_2840,"""0.02775308632140394138332339935004711151123047,37.4134""",0.28,676,20.8,Coconut,97,2676,1,0,1.28,332252.16,80169,609,13.1,125841,21
FARM_2841,"""-1.93279940273496864122648730699438601732254028,39.0793""",0.48,580,22.6,Cotton,156,357,2,0,0.58,32301.36,3072,606,14.1,12194,24
FARM_2842,"""0.55470453358884963535047063487581908702850342,40.8504""",0.8,925,18.9,Potatoes,95,1526,3,1,1.58,229052.6,36565,697,13.5,95152,22
FARM_2843,"""1.70663330906584409518700340413488447666168213,37.9249""",0.78,823,19.2,Vegetables,46,1119,0,0,1.18,60739.32,15143,675,13.0,24675,19
FARM_2844,"""3.42190311750551234837303127278573811054229736,35.7335""",0.57,751,20.8,Vegetables,99,3472,2,0,0.63,216548.64,35002,663,14.9,86890,15
FARM_2845,"""1.21750959200700759055280286702327430248260498,35.3578""",0.83,905,25.2,Tomatoes,93,2737,0,0,1.07,272358.87,31383,440,17.8,83977,25
FARM_2846,"""2.37843029450136977942520388751290738582611084,34.0013""",0.3,810,20.2,Beans,98,2572,3,0,0.95,239453.2,48058,585,14.1,88298,15
FARM_2847,"""-3.21133379492247117426018121477682143449783325,39.7459""",0.66,868,22.3,Coffee,317,3160,2,0,0.72,721238.4,178629,718,12.2,305925,16
FARM_2848,"""-0.40751548789595393174067794461734592914581299,34.8888""",0.37,743,21.0,Tea,303,288,2,0,1.43,124787.52,8186,658,11.3,49811,23
FARM_2849,"""-4.61321593560803222544564050622284412384033203,35.9507""",0.65,1130,21.6,Sugarcane,68,2391,1,0,2.04,331679.52,24877,604,13.2,124933,14
FARM_2850,"""-2.40588655994890610045899848046246916055679321,36.3830""",0.26,733,19.7,Coconut,103,5729,1,0,0.96,566483.52,94536,580,14.9,207711,13
FARM_2851,"""2.05609395055094523740990553051233291625976562,38.4830""",0.86,663,13.5,Wheat,55,1930,3,1,0.52,55198.0,11163,604,12.9,20791,26
FARM_2852,"""4.52383254754908126216150776599533855915069580,37.1837""",0.75,899,19.8,Tomatoes,39,1492,1,0,1.13,65752.44,13339,514,15.0,22301,19
FARM_2853,"""-3.77764367383889210216807441611308604478836060,39.3974""",0.34,842,22.8,Vegetables,77,1648,3,1,1.31,166233.76,25651,562,14.6,59706,22
FARM_2854,"""-0.96610286249001919856027598143555223941802979,34.4451""",0.65,695,22.2,Tomatoes,48,1418,1,0,1.12,76231.68,18558,564,14.8,27443,25
FARM_2855,"""2.74066000890218397501030267449095845222473145,34.9915""",0.73,290,24.4,Tea,340,1846,2,0,1.42,891248.8,160836,680,14.1,363927,11
FARM_2856,"""-2.80246859795124070302563268342055380344390869,37.9937""",0.35,1052,16.8,Potatoes,49,1147,3,0,1.71,96107.13,13968,573,12.1,34959,27
FARM_2857,"""0.46229002851126210771326441317796707153320312,36.6957""",0.27,1011,23.3,Vegetables,67,10701,1,0,1.23,881869.41,144097,601,13.6,331068,36
FARM_2858,"""2.11756305307597614273618091829121112823486328,36.3665""",0.45,487,20.1,Tomatoes,41,1528,3,2,1.13,70792.24,14987,544,15.4,24895,17
FARM_2859,"""1.02866468741966521349695540266111493110656738,34.5362""",0.3,804,19.3,Beans,137,3539,1,0,1.16,562417.88,129572,464,18.9,179036,22
FARM_2860,"""-2.95136996807663010145006410311907529830932617,41.1658""",0.6,569,23.8,Sorghum,67,1412,2,0,0.96,90819.84,19617,598,13.6,33982,24
FARM_2861,"""-1.39492351122262325802125815243925899267196655,39.5345""",0.5,832,24.8,Cotton,185,1498,1,1,1.0,277130.0,46637,548,13.5,97919,20
FARM_2862,"""2.58926359571419428817762309336103498935699463,34.9729""",0.52,979,26.0,Tea,271,3402,0,0,0.75,691456.5,44189,603,13.6,260161,11
FARM_2863,"""0.45430658142775470764718193095177412033081055,34.5204""",0.58,667,23.9,Sugarcane,109,2135,0,0,2.85,663237.75,129893,665,11.9,266677,12
FARM_2864,"""-4.65136459405091162722101216786541044712066650,41.7990""",0.89,878,21.6,Sugarcane,138,1732,1,0,2.01,480422.16,97056,608,12.6,181760,23
FARM_2865,"""2.37721406826127346079147173441015183925628662,39.4494""",0.75,348,16.9,Vegetables,89,1299,0,0,0.97,112142.67,7594,629,12.5,43409,16
FARM_2866,"""-4.37160439905577646868550800718367099761962891,37.3396""",0.64,485,26.3,Maize,100,2004,2,0,1.21,242484.0,27392,565,12.7,87395,27
FARM_2867,"""2.23532417940045924353853479260578751564025879,39.6138""",0.45,925,22.8,Sugarcane,54,1833,1,0,2.72,269231.04,18009,633,13.1,104664,13
FARM_2868,"""-2.81693079046329231118761526886373758316040039,40.0507""",0.22,540,18.8,Cotton,171,810,0,0,0.86,119118.6,15644,563,15.9,42833,14
FARM_2869,"""4.21008336511023717463331195176579058170318604,40.2397""",0.28,493,22.7,Coffee,291,2562,1,0,0.41,305672.22,48278,773,9.8,136661,28
FARM_2870,"""-1.27815101289061416878212185110896825790405273,37.8230""",0.71,519,16.9,Coffee,440,2973,2,0,1.05,1373526.0,115378,678,13.1,559712,16
FARM_2871,"""-1.65953596805586434115298288816120475530624390,37.4391""",0.46,430,26.7,Tomatoes,100,4570,0,0,1.37,626090.0,106588,594,14.5,233219,22
FARM_2872,"""-3.31534113190826484895978865097276866436004639,34.0882""",0.43,951,20.6,Tomatoes,59,2412,0,0,0.99,140884.92,28645,766,11.5,62576,25
FARM_2873,"""-1.85788079594100175029325328068807721138000488,41.4125""",0.82,970,18.1,Tomatoes,37,1508,1,0,1.35,75324.6,17018,694,9.4,31197,18
FARM_2874,"""3.45285208500226570293989425408653914928436279,38.8265""",0.54,510,26.5,Beans,143,581,2,0,1.08,89729.64,20023,594,14.2,33424,17
FARM_2875,"""4.56590933993340097885038630920462310314178467,35.6252""",0.83,423,17.4,Tea,351,1006,0,0,0.71,250705.26,45714,660,13.5,100282,24
FARM_2876,"""-1.27472136628631016463941705296747386455535889,41.3568""",0.82,677,21.9,Coffee,423,2475,1,0,0.96,1005048.0,188707,707,9.8,421701,22
FARM_2877,"""-0.52792113212275371125770107028074562549591064,41.3195""",0.26,407,22.5,Sugarcane,58,837,5,0,1.84,89324.64,6519,652,13.0,35432,18
FARM_2878,"""2.01525972528545516126996517414227128028869629,41.9135""",0.86,876,17.4,Tea,275,204,1,1,1.26,70686.0,6645,651,12.4,28009,23
FARM_2879,"""3.54162075832519374074536244734190404415130615,40.9925""",0.25,703,20.6,Sugarcane,127,3872,1,0,1.88,924478.72,224598,799,10.0,423334,19
FARM_2880,"""0.81531230793709319470963237108662724494934082,41.9823""",0.87,609,15.4,Sugarcane,62,1663,3,1,1.35,139193.1,34774,615,13.3,53067,9
FARM_2881,"""-1.05881100694618712765304735512472689151763916,35.9575""",0.52,955,20.5,Sorghum,68,1400,1,0,0.65,61880.0,3365,580,14.0,22689,25
FARM_2882,"""-0.86261688010779913327041867887601256370544434,40.7380""",0.73,464,15.5,Coffee,430,992,1,0,1.07,456419.2,92452,701,13.2,190365,25
FARM_2883,"""1.76924876242030393314053071662783622741699219,40.5842""",0.69,593,25.1,Coconut,112,1978,0,0,0.86,190520.96,33575,500,14.6,63507,24
FARM_2884,"""-4.67007014848020851616183790611103177070617676,35.8475""",0.56,401,19.8,Sorghum,47,1569,2,0,0.47,34659.21,1952,619,13.5,13272,26
FARM_2885,"""1.06218083837651899870024863048456609249114990,34.7875""",0.63,355,17.8,Vegetables,46,1057,2,0,1.7,82657.4,13699,766,11.1,36714,16
FARM_2886,"""-1.39391500289537617618407239206135272979736328,41.8354""",0.86,473,22.7,Tea,379,4668,0,0,0.95,1680713.4,282892,700,11.7,700297,24
FARM_2887,"""2.68603518087688364346377056790515780448913574,36.3682""",0.85,498,15.9,Maize,118,487,2,0,1.05,60339.3,7085,787,9.5,27329,23
FARM_2888,"""-3.83518704964487078257207031128928065299987793,40.9671""",0.66,475,19.4,Tea,287,291,2,0,1.09,91033.53,21318,702,9.7,38006,28
FARM_2889,"""0.77028108262003236461623600916936993598937988,34.0330""",0.66,677,24.5,Maize,85,4164,4,1,0.83,293770.2,73130,728,11.1,125832,15
FARM_2890,"""-0.22695212405904907626563726807944476604461670,34.1682""",0.37,675,17.1,Tomatoes,46,2047,0,0,1.35,127118.7,29882,656,12.6,50636,18
FARM_2891,"""1.27362739091861509876935087959282100200653076,37.7270""",0.78,312,21.0,Coconut,82,804,2,0,1.46,96254.88,4911,575,16.2,35093,16
FARM_2892,"""-4.09686157130839490037033101543784141540527344,35.9097""",0.64,899,19.1,Vegetables,83,769,0,0,1.6,102123.2,9999,644,13.7,40168,19
FARM_2893,"""0.69384922308162089166216901503503322601318359,39.5187""",0.78,321,14.7,Tea,391,1627,1,0,1.25,795196.25,124439,725,12.4,339615,22
FARM_2894,"""0.52180666802357045241933519719168543815612793,38.5245""",0.66,268,17.9,Sorghum,37,2126,2,1,0.62,48770.44,10088,678,12.0,19874,28
FARM_2895,"""0.51413887807038971544670857838355004787445068,34.6199""",0.41,959,19.5,Cotton,206,4177,2,0,0.79,679764.98,49495,603,11.8,255762,23
FARM_2896,"""0.91243529934703015982222495949827134609222412,35.3010""",0.33,424,22.8,Tea,362,2866,0,0,1.3,1348739.6,218874,574,16.0,491166,17
FARM_2897,"""1.59115181620516921157104661688208580017089844,37.1044""",0.25,789,26.8,Coconut,53,1158,0,0,1.06,65056.44,6181,584,13.7,23962,16
FARM_2898,"""2.78639769703115902643730805721133947372436523,35.4848""",0.61,554,21.9,Sorghum,76,1624,1,1,0.41,50603.84,6639,492,16.7,16699,24
FARM_2899,"""-2.19066730280760646465409990923944860696792603,40.3378""",0.4,449,22.4,Tea,285,2646,3,0,0.72,542959.2,128994,687,15.3,223292,20
FARM_2900,"""2.97295951467457797434690291993319988250732422,37.3286""",0.64,404,24.6,Wheat,64,6935,2,0,0.76,337318.4,41084,753,11.4,147998,15
FARM_2901,"""-0.06622215494988115125352123868651688098907471,34.7475""",0.24,795,23.5,Sugarcane,98,2042,0,0,2.84,568329.44,98730,512,15.1,192285,36
FARM_2902,"""-3.98335800405072015806240415258798748254776001,37.8747""",0.46,467,19.6,Beans,111,2161,2,0,1.18,283047.78,24853,652,12.8,112276,21
FARM_2903,"""-4.15547635803099346674116532085463404655456543,34.7267""",0.38,974,20.0,Sorghum,72,1026,3,0,0.85,62791.2,4102,795,9.6,28648,18
FARM_2904,"""-1.59158363612663444897066256089601665735244751,35.0315""",0.46,319,24.0,Maize,106,1470,1,0,0.84,130888.8,30495,701,13.6,54592,26
FARM_2905,"""2.59954188713664890997279144357889890670776367,35.9169""",0.24,1054,23.7,Potatoes,57,2307,2,0,2.47,324802.53,80674,704,12.1,135876,23
FARM_2906,"""1.88143269309051675008959136903285980224609375,40.8762""",0.71,180,22.7,Tomatoes,96,1695,1,0,1.24,201772.8,11133,697,11.2,83820,29
FARM_2907,"""2.63411917145338048129588059964589774608612061,41.3969""",0.28,771,19.8,Tomatoes,80,1681,1,0,1.73,232650.4,33924,547,12.5,82106,32
FARM_2908,"""0.11060222490696691721723254886455833911895752,40.6101""",0.21,406,27.7,Vegetables,45,478,3,0,0.72,15487.2,940,592,13.2,5756,18
FARM_2909,"""-0.60614931901393731550342636182904243469238281,36.6726""",0.86,302,19.2,Potatoes,42,1879,0,0,1.25,98647.5,15791,684,12.0,40445,19
FARM_2910,"""-3.32869150163155946842152843601070344448089600,36.1796""",0.34,675,21.6,Coffee,274,5539,1,1,0.72,1092733.92,223890,493,14.5,361057,27
FARM_2911,"""-1.64780739143340237973234252422116696834564209,38.3932""",0.78,869,26.9,Sugarcane,76,6083,0,0,1.28,591754.24,83677,626,14.1,228319,17
FARM_2912,"""-0.66361989458296033461692786659114062786102295,39.7748""",0.88,651,22.4,Potatoes,71,5703,4,1,1.87,757187.31,69720,516,15.7,257444,18
FARM_2913,"""-3.87601600397955969867780368076637387275695801,41.9470""",0.57,689,21.8,Maize,82,501,3,0,0.81,33276.42,5467,689,13.0,13713,6
FARM_2914,"""-2.64830883978573528025890482240356504917144775,35.0526""",0.57,751,23.0,Wheat,73,4230,2,0,0.97,299526.3,29020,623,14.2,115193,33
FARM_2915,"""0.86349523479277134896392453811131417751312256,34.3943""",0.46,854,19.7,Coffee,337,3554,1,1,0.47,562918.06,123650,663,13.9,225871,10
FARM_2916,"""2.14166696242446619180554989725351333618164062,39.5548""",0.5,1111,21.7,Tomatoes,71,11308,1,0,1.66,1332760.88,274645,697,10.4,553651,13
FARM_2917,"""4.58463185595443167841267495532520115375518799,40.6578""",0.54,514,24.6,Beans,146,2454,1,0,0.85,304541.4,50581,801,9.7,139708,25
FARM_2918,"""3.97795398149508638852012154529802501201629639,40.7708""",0.31,820,25.3,Coffee,449,2259,2,0,0.99,1004148.09,134514,828,8.1,471950,12
FARM_2919,"""1.27585635567728150618904692237265408039093018,39.4277""",0.46,557,27.6,Tea,243,2125,1,0,1.01,521538.75,114309,768,11.3,232085,7
FARM_2920,"""-0.78239310436513020974302889953833073377609253,41.6321""",0.77,656,19.4,Sugarcane,77,13846,3,1,2.19,2334850.98,433191,532,15.9,809415,22
FARM_2921,"""1.21644949178656425203826074721291661262512207,38.0880""",0.33,871,26.6,Sorghum,43,1392,3,0,0.32,19153.92,3551,576,13.8,6991,18
FARM_2922,"""2.60656004814615815945444410317577421665191650,41.3105""",0.71,745,24.1,Coffee,431,4782,2,0,0.76,1566391.92,293628,663,10.7,628515,19
FARM_2923,"""-3.59947342441249773514755361247807741165161133,41.7425""",0.66,514,25.8,Sorghum,85,1154,2,1,0.38,37274.2,2764,570,14.4,13512,22
FARM_2924,"""-0.88788452582451915517935958632733672857284546,40.7773""",0.24,726,17.3,Beans,92,1609,1,0,0.68,100659.04,16790,611,15.7,38208,19
FARM_2925,"""3.11016125641124041578677861252799630165100098,36.4781""",0.22,788,19.4,Coconut,77,1457,2,1,1.5,168283.5,20402,595,14.5,62756,11
FARM_2926,"""-1.13035354702269064119946051505394279956817627,35.5697""",0.45,858,22.8,Cotton,185,807,1,0,0.44,65689.8,8544,665,13.6,26413,21
FARM_2927,"""0.61841212241283471939823357388377189636230469,38.3850""",0.68,985,24.5,Coconut,73,4450,1,1,1.38,448293.0,71794,600,12.1,168110,17
FARM_2928,"""0.76625505601844334790939683443866670131683350,37.6241""",0.43,1148,20.5,Potatoes,63,6600,0,0,1.74,723492.0,180331,541,14.5,253524,22
FARM_2929,"""-2.98437084585715428630692258593626320362091064,41.0221""",0.67,701,20.7,Tea,342,5384,2,0,1.47,2706752.16,625394,593,14.9,1000000,6
FARM_2930,"""-1.33121039263371798710977600421756505966186523,34.8003""",0.67,424,18.3,Sugarcane,80,2090,4,0,2.54,424688.0,105798,845,11.0,202612,18
FARM_2931,"""-1.58904501470003101104566667345352470874786377,36.0619""",0.76,779,20.2,Sugarcane,117,6192,1,0,2.18,1579331.52,333952,658,13.3,630416,26
FARM_2932,"""-4.45637061065179729268947994569316506385803223,40.0144""",0.27,366,20.7,Potatoes,97,516,1,0,1.8,90093.6,6696,549,12.6,31871,11
FARM_2933,"""-4.47501659581039668012181209633126854896545410,34.7599""",0.6,1176,20.7,Wheat,87,5956,2,0,1.25,647715.0,51793,453,17.1,203221,17
FARM_2934,"""3.03478250618469402866139716934412717819213867,36.5661""",0.24,561,18.8,Sorghum,59,5288,1,0,0.63,196554.96,18819,631,13.2,76247,12
FARM_2935,"""-2.16044146725284447185799763246905058622360229,37.0972""",0.32,946,28.7,Sugarcane,103,4395,2,1,2.65,1199615.25,299514,675,11.2,487344,6
FARM_2936,"""0.11813252602098334165248161298222839832305908,38.9808""",0.43,779,25.6,Coconut,50,2888,5,2,1.42,205048.0,30968,715,11.5,86718,16
FARM_2937,"""-1.92185216562441052445819877902977168560028076,35.2651""",0.7,761,24.3,Wheat,68,4037,2,0,0.56,153728.96,31557,691,13.0,63477,21
FARM_2938,"""4.04831697957266722909253076068125665187835693,40.8848""",0.88,305,26.0,Wheat,98,2122,0,0,0.63,131012.28,26532,663,12.1,52569,14
FARM_2939,"""-2.28854014254830406827068145503289997577667236,37.5803""",0.44,503,24.0,Sorghum,43,2415,1,0,0.79,82037.55,20040,723,12.1,34969,34
FARM_2940,"""-0.70419164152790347799282244523055851459503174,41.3362""",0.56,601,29.8,Vegetables,91,1541,1,0,1.7,238392.7,16319,596,13.6,89000,17
FARM_2941,"""3.41639132950679691447248842450790107250213623,37.7430""",0.38,606,19.2,Potatoes,107,1457,1,1,1.47,229171.53,15544,639,15.4,89663,20
FARM_2942,"""3.12998217116382093649917806033045053482055664,36.2003""",0.67,723,14.0,Coffee,315,750,3,1,0.55,129937.5,26269,874,8.4,63561,25
FARM_2943,"""-2.96925681402962116095523015246726572513580322,35.1346""",0.46,535,18.9,Cotton,172,446,2,0,0.7,53698.4,2840,724,9.9,22911,26
FARM_2944,"""2.76458278110010713390920500387437641620635986,34.0300""",0.54,823,15.4,Sugarcane,51,11930,2,1,1.91,1162101.3,261199,755,9.9,510840,14
FARM_2945,"""-0.43886195333759836501030804356560111045837402,38.2573""",0.6,676,17.7,Maize,64,874,1,0,1.24,69360.64,10554,671,14.4,28062,20
FARM_2946,"""-0.20838948960619596562082733726128935813903809,34.8573""",0.68,864,19.9,Coconut,114,830,3,0,1.04,98404.8,9998,664,13.1,39526,17
FARM_2947,"""-3.45863625653172324092565759201534092426300049,37.1338""",0.24,329,21.5,Beans,132,5369,2,1,0.57,403963.56,93809,590,13.1,149803,21
FARM_2948,"""-3.95040592205874085962591379939112812280654907,38.7142""",0.59,895,25.7,Cotton,156,18575,3,0,0.86,2492022.0,493340,728,10.1,1000000,15
FARM_2949,"""2.06983555485601655732352810446172952651977539,36.2055""",0.5,1107,27.8,Sorghum,36,5618,2,0,0.56,113258.88,12268,585,16.6,41764,18
FARM_2950,"""-0.08291128309571238474973142729140818119049072,35.4018""",0.29,660,23.0,Tea,391,2798,4,0,0.75,820513.5,162551,603,12.7,308718,26
FARM_2951,"""-0.63728846567883046247970924014225602149963379,40.1978""",0.35,1002,17.7,Sugarcane,106,788,0,0,2.7,225525.6,24965,555,15.7,80343,14
FARM_2952,"""2.08442652646728987519963993690907955169677734,41.5743""",0.82,693,20.2,Wheat,96,7040,0,0,1.19,804249.6,126855,766,9.8,357221,23
FARM_2953,"""2.41926996061732069165373104624450206756591797,34.8035""",0.81,595,21.0,Potatoes,44,1854,1,0,2.46,200676.96,40115,594,14.9,74752,20
FARM_2954,"""-3.22215404067501198781542370852548629045486450,35.2447""",0.22,753,20.5,Vegetables,105,334,0,0,1.75,61372.5,8275,693,12.1,25393,15
FARM_2955,"""0.97509389014206426793407445074990391731262207,41.6801""",0.68,1092,17.3,Sugarcane,138,1238,1,0,1.84,314352.96,66843,619,10.1,120371,15
FARM_2956,"""-3.44120703481752476804444995650555938482284546,34.3023""",0.59,1072,26.5,Maize,93,4401,2,1,1.18,482965.74,39439,447,17.5,150323,28
FARM_2957,"""2.28778830007012512481878729886375367641448975,41.8211""",0.86,317,16.6,Potatoes,99,814,1,0,2.46,198241.56,30484,548,14.4,70045,29
FARM_2958,"""1.40968295328439818803190064500086009502410889,34.0372""",0.84,443,20.1,Wheat,108,3717,2,0,0.79,317134.44,17757,729,12.8,135971,19
FARM_2959,"""4.19651597607615922669310748460702598094940186,40.9893""",0.61,678,22.5,Vegetables,101,681,0,0,0.78,53649.18,13201,656,12.8,21370,28
FARM_2960,"""-4.05869044788528299250174313783645629882812500,36.4586""",0.3,523,22.6,Coffee,412,782,3,0,0.51,164313.84,14012,632,16.4,63809,28
FARM_2961,"""-4.16939109329333490450153476558625698089599609,41.5087""",0.52,796,20.6,Wheat,103,3574,0,0,1.38,508008.36,42008,745,12.2,221195,29
FARM_2962,"""-2.07566020535323847440167810418643057346343994,36.5356""",0.71,665,23.1,Coffee,267,897,3,0,0.76,182019.24,25195,565,14.7,65603,21
FARM_2963,"""-2.26613714125607446092658392444718629121780396,39.2345""",0.87,587,18.3,Coffee,303,3586,1,1,0.73,793187.34,50180,545,18.0,279268,34
FARM_2964,"""-2.40309716863040145895524801744613796472549438,34.6403""",0.45,1194,21.6,Potatoes,61,335,0,0,1.1,22478.5,5045,681,13.2,9188,29
FARM_2965,"""3.72816759884564152827124416944570839405059814,35.9386""",0.75,896,17.5,Vegetables,75,1095,1,0,0.85,69806.25,6189,747,11.3,30453,14
FARM_2966,"""-2.37922034139959315268697537248954176902770996,40.1894""",0.68,879,18.9,Cotton,175,3619,1,0,0.94,595325.5,104908,584,14.0,219278,23
FARM_2967,"""-2.17086754700373152360270978533662855625152588,38.2295""",0.25,498,25.4,Sugarcane,86,11259,1,0,1.57,1520190.18,315727,632,12.6,590341,11
FARM_2968,"""2.36240384048706264508155072689987719058990479,41.4238""",0.59,691,21.2,Maize,72,5189,3,1,0.6,224164.8,33581,546,15.9,79018,24
FARM_2969,"""-0.51741946520997750269543757895007729530334473,37.4300""",0.33,666,21.3,Sorghum,72,1520,1,0,0.48,52531.2,3007,815,6.5,24405,25
FARM_2970,"""2.52340817968318553710105334175750613212585449,40.9585""",0.68,723,20.3,Vegetables,127,4586,3,0,1.5,873633.0,99021,734,12.5,376390,13
FARM_2971,"""-4.09209473465121753577022900572046637535095215,37.5916""",0.63,590,19.6,Wheat,68,1705,1,0,0.64,74201.6,12743,549,16.1,26249,22
FARM_2972,"""-0.16558789883752567106967035215348005294799805,41.8340""",0.88,931,22.1,Sugarcane,106,4691,1,0,2.76,1372398.96,170270,578,15.0,502069,18
FARM_2973,"""-4.38739351829547175043444440234452486038208008,41.6787""",0.85,1033,29.8,Coffee,367,4162,4,1,0.41,626256.14,112413,591,14.2,232498,14
FARM_2974,"""-4.11732520786520339584058092441409826278686523,36.6331""",0.21,891,17.1,Coffee,407,15379,0,0,1.07,6697400.71,1021231,514,14.5,1000000,13
FARM_2975,"""3.72986831610302171924331560148857533931732178,41.0874""",0.26,675,18.6,Wheat,53,3595,0,0,1.23,234358.05,34151,819,9.3,109269,18
FARM_2976,"""-3.40501804860636525518202688544988632202148438,40.7809""",0.74,599,18.7,Coffee,394,1036,5,0,0.68,277565.12,27421,714,13.3,117271,11
FARM_2977,"""0.25151234515951959025414907955564558506011963,35.6854""",0.68,971,14.2,Tea,327,2199,1,0,0.74,532114.02,127763,591,13.4,197547,23
FARM_2978,"""-0.87681089581342908090277887822594493627548218,38.9943""",0.76,781,21.6,Sorghum,73,815,1,0,0.71,42241.45,6868,654,13.0,16791,26
FARM_2979,"""-1.46970706579276289005520084174349904060363770,34.5815""",0.39,839,21.2,Sugarcane,58,694,3,0,2.76,111095.52,10445,724,10.7,47401,21
FARM_2980,"""3.66845011489163486118059154250659048557281494,40.6937""",0.79,776,19.8,Beans,90,1452,0,0,0.85,111078.0,13702,608,12.7,42025,24
FARM_2981,"""-4.49704240998794801953408750705420970916748047,35.3964""",0.51,514,24.3,Beans,90,1910,2,0,1.02,175338.0,12828,587,12.0,64802,14
FARM_2982,"""1.47324408143297880258160148514434695243835449,34.5665""",0.38,1091,20.4,Potatoes,92,1161,2,0,2.42,258485.04,53938,542,15.6,90685,23
FARM_2983,"""4.25956823818601915121462297975085675716400146,37.2018""",0.21,1313,21.4,Wheat,65,348,3,0,0.83,18774.6,3170,565,12.1,6767,21
FARM_2984,"""0.50956410619513015092252317117527127265930176,38.6154""",0.81,592,22.6,Coffee,327,427,2,1,0.47,65625.63,13520,710,12.4,27617,10
FARM_2985,"""4.01244889690775519142107441439293324947357178,40.8393""",0.57,690,20.7,Potatoes,97,2562,5,2,1.12,278335.68,51991,494,16.9,92083,15
FARM_2986,"""-4.21400172263997951915825979085639119148254395,41.7939""",0.88,605,27.9,Coconut,67,464,0,0,0.95,29533.6,7162,622,15.1,11346,22
FARM_2987,"""-0.80522213261029884634467634896282106637954712,37.5159""",0.7,534,20.6,Beans,133,3254,1,0,1.22,527994.04,104996,717,10.0,223737,29
FARM_2988,"""-2.28053254405292404882743539928924292325973511,34.4836""",0.26,849,24.3,Cotton,195,7094,1,1,1.02,1410996.6,260861,495,16.3,467393,29
FARM_2989,"""2.09663497432078749227457592496648430824279785,39.9929""",0.61,555,21.7,Potatoes,45,1094,1,0,2.11,103875.3,17791,546,15.9,36616,35
FARM_2990,"""4.42606294162439528605546001926995813846588135,38.5214""",0.21,461,21.9,Cotton,126,1271,2,0,0.79,126515.34,8184,508,16.8,42593,24
FARM_2991,"""-2.31427041926849552666567433334421366453170776,37.5831""",0.59,812,25.0,Coffee,388,3464,0,0,0.58,779538.56,48934,497,16.5,258872,22
FARM_2992,"""1.38382379370889285752355135628022253513336182,36.4742""",0.45,481,20.9,Coconut,95,1260,2,0,1.5,179550.0,36646,841,7.7,85361,27
FARM_2993,"""-2.85769201533441652429701207438483834266662598,38.0192""",0.65,546,21.8,Coffee,426,745,0,0,0.53,168206.1,32663,656,12.8,67002,19
FARM_2994,"""0.55757136751597258239598886575549840927124023,36.7094""",0.58,531,22.9,Vegetables,65,1192,0,0,1.4,108472.0,10565,761,10.5,47954,12
FARM_2995,"""-0.38542787379847354145567805971950292587280273,40.0561""",0.38,816,19.9,Coconut,107,1206,0,0,1.16,149688.72,37029,633,12.7,58191,22
FARM_2996,"""4.33964956557329539776901583536528050899505615,38.3511""",0.31,719,23.7,Coconut,114,3224,2,2,1.26,463095.36,36644,613,15.0,176169,15
FARM_2997,"""0.95930363607713964313461474375799298286437988,41.0148""",0.48,233,27.3,Coconut,61,801,2,0,0.82,40066.02,5605,647,14.0,15809,22
FARM_2998,"""-1.44959073959258510910785844316706061363220215,38.3484""",0.89,771,19.0,Tea,361,3853,1,0,0.68,945834.44,235889,715,11.3,400009,26
FARM_2999,"""-3.63890920054221966850604985665995627641677856,35.9061""",0.5,494,19.8,Vegetables,47,3688,1,0,1.53,265204.08,61486,635,12.3,103319,15
FARM_3000,"""-3.29340449276510849330179553362540900707244873,40.8087""",0.72,1084,18.4,Tomatoes,33,677,3,0,1.81,40437.21,3652,632,12.8,15703,31
FARM_3001,"""-2.60455255145351349810312058252748101949691772,38.4578""",0.24,182,28.3,Coconut,88,4405,3,0,1.31,507808.4,35732,704,12.0,212433,12
FARM_3002,"""-2.36601004953522853213598864385858178138732910,35.6547""",0.47,794,24.1,Tea,388,208,1,0,1.38,111371.52,7857,573,15.5,40511,13
FARM_3003,"""3.21072933792258208285375076229684054851531982,38.9881""",0.61,895,17.5,Coffee,265,731,2,1,1.0,193715.0,19864,557,13.4,69172,18
FARM_3004,"""0.51937193102748224760034645441919565200805664,36.8617""",0.73,398,16.8,Tea,333,448,2,1,0.89,132773.76,19843,487,16.9,43539,11
FARM_3005,"""0.16753547578160787878687187912873923778533936,40.7552""",0.57,630,24.2,Sugarcane,127,5594,3,1,1.24,880943.12,194818,498,14.2,292914,10
FARM_3006,"""-3.63264949161627770379823232360649853944778442,37.6264""",0.56,724,30.2,Cotton,204,2560,1,0,0.9,470016.0,26413,650,13.7,186048,17
